Datetime,Transaction,Description
10/10/18 20:18,Add/Drop,"EA dropped Chargers D/ST, LAC D/ST to Waivers. EA added Keke Coutee, Hou WR from Free Agency to Bench."
10/10/18 19:35,Add/Drop,"TE added Taylor Gabriel, Chi WR from Free Agency to Bench. AA dropped Tyler Kroft, Cin TE to Waivers."
10/10/18 19:16,Add/Drop,"LURI added Ito Smith, Atl RB from Free Agency to Bench. LURI dropped Keke Coutee, Hou WR to Free Agency."
10/10/18 6:11,Add/Drop,"LURI dropped Jameis Winston, TB QB to Waivers. LURI added Ronald Jones, TB RB from Free Agency to Bench."
10/10/18 6:04,Add/Drop,"LURI dropped Titans D/ST, Ten D/ST to Waivers. LURI added Cowboys D/ST, Dal D/ST from Free Agency to Bench."
10/10/18 4:31,Add/Drop,"AMIT dropped Matt Prater, Det K to Waivers. AMIT added Graham Gano, Car K from Waivers to Bench for $7."
10/10/18 4:31,Add/Drop,"POSN added Blake Bortles, Jax QB from Waivers to Bench. POSN dropped Matthew Stafford, Det QB to Waivers for $8."
10/10/18 4:31,Add/Drop,"POSN added Sebastian Janikowski, Sea K from Waivers to Bench. POSN dropped Jamaal Williams, GB RB to Waivers for $8."
10/10/18 4:31,Add/Drop,"SHAR dropped Panthers D/ST, Car D/ST to Waivers. SHAR added Packers D/ST, GB D/ST from Waivers to Bench for $22."
10/10/18 4:31,Add/Drop,"JOSE added Ryan Succop, Ten K from Waivers to Bench. JOSE dropped Josh Lambo, Jax K to Waivers for $25."
10/10/18 4:31,Add/Drop,"AMIT dropped Javorius Allen, Bal RB to Waivers. AMIT added Jamaal Charles, Jax RB from Waivers to Bench for $26."
10/10/18 4:31,Add/Drop,"AMIT dropped Austin Hooper, Atl TE to Waivers. AMIT added Cameron Brate, TB TE from Waivers to Bench for $44."
10/10/18 4:31,Add/Drop,"LURI dropped Patriots D/ST, NE D/ST to Waivers. LURI added Keke Coutee, Hou WR from Waivers to Bench for $51."
10/10/18 4:31,Add/Drop,"GABE added Alex Smith, Wsh QB from Waivers to Bench. GABE dropped Jordan Wilkins, Ind RB to Waivers for $80."
10/10/18 4:31,Add/Drop,"on dropped O.J. Howard, TB TE to Waivers. SLON added Alfred Morris, SF RB from Waivers to Bench for $100."
10/10/18 4:31,Add/Drop,"on dropped Randall Cobb, GB WR to Waivers. SLON added Wendell Smallwood, Phi RB from Waivers to Bench for $245."
10/10/18 4:31,Add/Drop,"SHAR dropped Geronimo Allison, GB WR to Waivers. SHAR added Corey Clement, Phi RB from Waivers to Bench for $301."
10/10/18 3:20,Trade Upheld ,"LURI traded Alshon Jeffery, Phi WR to SLON. LURI traded Chris Carson, Sea RB to SLON. SLON traded Le'Veon Bell, Pit RB to LURI. SLON traded Titans D/ST, Ten D/ST to LURI."
10/10/18 0:35,Drop,"JOSE dropped Jay Ajayi, Phi RB to Waivers."
10/9/18 23:53,Accepted Trade,"LURI traded Alshon Jeffery, Phi WR to SLON. LURI traded Chris Carson, Sea RB to SLON. SLON traded Le'Veon Bell, Pit RB to LURI. SLON traded Titans D/ST, Ten D/ST to LURI."
10/7/18 6:47,Add/Drop,"LURI added D'Onta Foreman, Hou RB from Free Agency to Bench. LURI dropped Spencer Ware, KC RB to Waivers."
10/6/18 9:06,Add/Drop,"LURI added Jameis Winston, TB QB from Free Agency to Bench. LURI dropped Rod Smith, Dal RB to Waivers."
10/5/18 11:53,Add/Drop,"LURI dropped Keelan Cole, Jax WR to Waivers. LURI added Spencer Ware, KC RB from Free Agency to Bench."
10/5/18 4:31,Add/Drop,"LURI dropped Keke Coutee, Hou WR to Free Agency. LURI added Quincy Enunwa, NYJ WR from Waivers to Bench for $3."
10/5/18 4:31,Add/Drop,"POSN dropped Joe Flacco, Bal QB to Waivers. POSN added Matthew Stafford, Det QB from Waivers to Bench for $3."
10/5/18 4:31,Add/Drop,"AMIT added Javorius Allen, Bal RB from Waivers to Bench. AMIT dropped Alfred Morris, SF RB to Waivers for $11."
10/5/18 4:31,Add/Drop,"BULO dropped Jordy Nelson, Oak WR to Waivers. BULO added Evan Engram, NYG TE from Waivers to Bench for $27."
10/4/18 12:48,Add/Drop,"LURI dropped Raiders D/ST, Oak D/ST to Waivers. LURI added Patriots D/ST, NE D/ST from Free Agency to Bench."
10/4/18 6:57,Add/Drop,"LURI added Keke Coutee, Hou WR from Free Agency to Bench. LURI dropped Antonio Callaway, Cle WR to Waivers."
10/4/18 6:37,Add/Drop,"LURI added Rod Smith, Dal RB from Free Agency to Bench. LURI dropped Spencer Ware, KC RB to Free Agency."
10/4/18 6:36,Add/Drop,"LURI added Spencer Ware, KC RB from Free Agency to Bench. LURI dropped Ronald Jones, TB RB to Waivers."
10/4/18 2:32,Add/Drop,"POSN added Joe Flacco, Bal QB from Free Agency to Bench. POSN dropped Blake Bortles, Jax QB to Free Agency."
10/4/18 0:05,Add/Drop,"POSN added Blake Bortles, Jax QB from Free Agency to Bench. POSN dropped Joe Flacco, Bal QB to Free Agency."
10/4/18 0:02,Add/Drop,"POSN added Joe Flacco, Bal QB from Free Agency to Bench. POSN dropped Blake Bortles, Jax QB to Free Agency."
10/3/18 16:35,Add/Drop,"TE dropped Matthew Stafford, Det QB to Waivers. AA added Mohamed Sanu, Atl WR from Free Agency to Bench."
10/3/18 16:18,Add/Drop,"BULO dropped Quincy Enunwa, NYJ WR to Waivers. BULO added Baker Mayfield, Cle QB from Free Agency to Bench."
